Id,SalePrice
2658,135789.56792246172
2718,168391.64830154277
2414,224804.42151276203
1989,121689.43411693972
625,179339.94982547042
333,85658.07391091852
1327,102980.60895151265
858,148832.39859708786
95,185095.8700348367
1568,160589.8068924435
2482,160774.7528625533
1364,120064.85444086787
2584,153743.57523257064
818,254310.2327847101
2673,159134.12148925426
2089,125423.71221020576
1297,153730.4031530568
790,120126.817058112
2616,196186.754694167
720,206016.75112226303
222,140205.97575099667
557,123641.1609922071
1148,190989.70635619297
2766,167055.5896483241
534,184489.50648007524
1452,118520.84906460001
630,137770.90811002214
2648,147496.87860214902
125,166100.29417595235
1904,40792.01008915593
1670,103317.3785755424
756,103510.56394142027
717,246436.2307657049
1032,162416.51989832392
852,218268.6764110406
1731,184812.5653038755
2639,120326.99495249368
2071,65918.16181338421
1267,130476.12383966427
1851,191791.27937509512
567,171280.02708621803
2439,209269.27853830802
1898,154542.56595406242
647,172567.07464616548
2256,222419.23223530143
979,94301.89570546985
1444,226276.71993135926
2485,118622.07249297193
157,116640.81510278824
88,124589.57731135558
2003,114581.41074615148
186,218855.28607255194
1425,243858.08679068906
2695,129634.12177275786
738,112983.79694963829
395,148666.07777814576
1353,169489.83781291684
1878,147939.06960373215
390,166058.89859158176
1456,234134.63316084415
1103,316903.8099090794
1387,134601.8209282189
2070,145372.1040329567
1199,176126.91704896072
2479,183150.38749194235
501,298546.6755410286
2362,91776.39390263997
1718,228571.7326355726
2188,80305.81489186778
1483,165924.7937416454
2557,84188.03731286217
437,339812.77687480685
2224,196941.2500595262
1628,183986.0689982792
397,128765.89208829211
587,204184.91575995297
2182,539323.6257672217
971,150696.84346937254
2611,148837.09562174007
1887,85003.61731076118
2399,356238.17690213444
2148,205186.37914140147
304,143067.69215540355
1997,138258.62111710274
2817,118544.21649223985
1431,200060.12722067145
427,343411.5766812222
263,122869.54813866975
598,190779.9971157362
2895,232686.00459026816
687,150725.271831989
1822,131731.1004919266
2191,103767.25658745186
179,117298.18100379332
1009,239732.45241208118
2010,118986.21330683786
1991,149920.71248607332
1411,195709.58081186062
1721,242569.18238227052
1144,195875.46376163198
593,218360.10386559268
575,298878.1497345712
1249,181373.7345661857
1604,119136.10782151182
1064,440929.9879676205
1923,157496.54098427805
1988,105244.31967967744
2325,173018.7737026332
114,201755.63084094203
2700,177775.65849113517
217,134919.32340049156
343,187865.57876775519
386,224616.2754233635
2005,107122.84900116155
2908,123943.72408272425
1814,244074.89346930836
2446,436699.56922670174
208,147546.52666997153
1679,111518.75901720817
822,313660.6079650436
6,186468.67980699716
1781,373940.3480950002
2397,304661.9671382353
2340,310349.1072203928
1618,160339.58896785008
2843,157531.1903210436
1061,350696.64901877067
2786,115377.9879918833
1935,132718.5204364896
1341,115963.16858620528
521,253780.36220486718
2136,136680.3363469628
996,193125.80392847426
227,141888.49653379736
135,182890.80093693733
1167,153918.1099842458
294,225329.25534498383
1776,207730.25293076359
540,179851.20639386683
1717,238726.26785070606
2303,114983.06310841125
116,191249.00985207746
127,132796.10743832547
1371,131718.70685138763
1014,172658.47365542065
1507,90069.11400615246
702,148816.23566481238
750,154016.14326549557
261,146557.43121269642
1559,64706.97755417929
577,221905.48427150186
2812,200430.9393039203
2080,166714.04378142668
1368,116834.77642279875
2376,126126.23552115541
659,117702.27693186232
1235,133479.842631799
332,73506.20131423244
1917,144427.3839708413
2094,237673.28469136442
1460,262955.1753686986
1471,214691.4325965544
1509,121036.82765280386
1922,123364.14847540794
433,436644.5412395466
460,276078.5849504466
1116,225202.8156331319
1137,171239.26749364944
53,171337.523723849
2354,263377.62803136586
1475,200068.7477582954
1761,467431.15631129144
842,134874.77506504513
2739,177156.64758908362
2509,157253.01272054762
1007,208115.2105330903
2610,187057.72030852851
1952,97997.84458071087
2719,176011.0914823077
2921,84235.67899328303
1966,143908.76201121506
292,131294.09030323924
1204,201744.2910099887
1829,247073.93150136532
2419,197926.80260626378
391,156688.42433252867
798,126134.07518052176
481,202847.75982328353
193,203805.1169770031
555,114929.47203358563
899,58410.89630173278
2357,182110.60297880493
328,128252.29491671444
1356,107577.89100327935
1154,109429.64214485235
1730,192417.8059495978
2249,154651.6307904087
1119,277735.59750092035
2856,147202.57175780015
1394,131338.1465537753
2587,119716.4378296475
61,299588.616993105
2661,183795.89997187647
2711,131922.09591287113
1147,193944.3132326301
757,139889.1218639951
2623,87002.11959577765
2378,137685.7157971799
1413,150244.46934029134
1722,229929.22959868927
1112,215747.61896919616
1623,185293.40241956082
1201,207516.71752396517
1513,118230.9917955464
957,349782.99044184433
1171,259909.49900579054
1145,202486.87371794568
2726,226802.9134415947
703,154393.40500649295
760,109740.45556805079
1964,142065.19310713527
2512,185984.11403491243
159,144779.25208679828
1281,179427.52630883415
468,189215.0899240392
290,124331.38461442514
665,108238.14129041709
1463,255846.4423059557
1792,214938.36775848552
923,155635.93271084412
500,276007.28351587465
1408,169628.60379135614
331,67424.18963916114
170,144043.98958586258
2192,94526.94201614347
2571,308397.38005857315
2314,165708.5356921478
2647,88583.89793488935
422,391599.70581968443
2457,335480.3771526144
1838,197433.89444953974
2805,255761.37970171153
1645,155461.6719982048
1711,299454.88801463926
2825,238282.41432954534
322,313279.3637993927
2103,262580.78959437326
342,125688.15853640562
600,109089.37819830306
488,173706.58460799977
1725,314413.98054769624
2246,290056.6845916901
2847,160791.7309076512
806,240022.16021842152
530,224717.44661600125
963,195222.72851311747
2678,100936.35261106364
171,83868.1421112209
2401,408356.97352943366
805,222536.28705764347
2259,241107.84728583315
1748,186871.75361853463
1361,143103.00250263244
1677,122177.45258167881
1406,163965.63182580227
2322,244757.1371545224
688,164252.20092390716
143,143856.88568641784
804,215077.98310724337
1214,173571.63152124346
2828,158274.7903960495
1999,207305.64101510117
2467,205576.7365614348
2665,173799.58404433756
1538,315290.57856199314
398,110577.70078225482
2822,155851.26444257435
2157,156910.31367170776
1856,189375.77440236992
1269,95883.25769500702
2570,123895.71452868794
2320,235707.51297425703
1517,127548.51695846983
2304,113475.13924325521
1312,97856.67918849831
2012,137205.97099280191
506,242226.83761820092
2865,197594.8943597826
2367,109915.18474086489
554,100425.00245311324
238,143974.84179880016
1954,104216.66183119618
2488,133170.95675235262
2291,81793.89019489392
1969,91948.03347873007
2725,165204.26743733982
1482,162367.00379046804
2763,211389.04483549958
503,257594.35592325695
1584,246400.26286416262
1531,161342.85668748248
2210,178415.27770299843
459,330963.63536259276
556,126741.81337007278
1347,152934.15651236518
1290,78537.24644239154
1388,103816.83765790235
1571,277702.6336468693
2754,216320.76148378768
765,144717.7215991722
2494,124308.35968861864
2870,211686.38258540528
7,235041.287759012
1114,239765.95955568925
2418,277294.8939323935
291,131962.96772967582
18,357772.41546441655
39,370032.38111585216
1001,269108.57364198146
2442,233611.0075108683
616,132699.76733245878
2680,62481.959304772114
1414,122794.60747131746
289,155011.4164266047
40,267896.55985298916
860,134012.345769599
409,128860.39977096615
673,160306.402733917
2427,187655.3803851248
2036,205158.87641505396
2564,141086.41053180437
642,171580.30745174357
1008,184098.59658949234
1908,153153.64211425447
2519,203546.18590679416
1369,93645.91345325377
2855,167323.49729485525
712,99002.11269185682
1943,123876.5476608698
1958,136391.23965747358
107,176886.6240892604
2295,208232.8575641358
704,108873.15893952144
676,142879.36437312793
259,181657.26501452667
93,287170.05222299707
106,232974.9958629412
2315,168847.05857095707
1050,107645.60412179671
1095,214667.6614174007
2709,155002.31990403318
758,151556.55202286472
1496,159243.2868991872
2370,121730.2067854783
2458,279656.1148501844
2733,140421.9698092403
161,271666.21228653507
726,155712.592657888
845,216004.25785838437
947,244630.36710202714
2232,109898.32983979826
2563,142754.69560483267
2299,161813.13969819917
211,80031.40029396693
605,161397.4596147084
1478,202845.1838484759
2247,278384.7564851574
2274,226141.03572830968
2869,212514.78802151134
967,212813.00460972782
2656,102565.01808632309
667,207168.1251316449
1042,117281.7747815674
2023,163021.7973215565
2447,362487.1970327432
2055,126998.27693120387
2275,279040.0989622599
2204,173277.53379742763
1563,269018.10482161824
483,231872.05697382917
796,142135.1345932326
1526,148628.1257329692
2042,147172.3574452651
442,336456.59016375686
1693,318729.26010661543
1468,223085.16037334054
1430,185730.13914417132
2605,178685.82273172494
1529,195609.2051255451
335,142692.6358974091
1287,125709.00993930883
31,106049.75108438903
1785,299186.60725529375
82,161352.40350985437
2620,139008.8505169538
252,177323.6830393874
721,72299.06331943224
2165,195241.70452370154
2316,185532.4205075844
775,133440.09547074427
1558,88770.15886440293
17,214642.10214865184
1022,241626.86579521594
925,118667.36503995626
438,279337.66535553755
1270,148236.91246562838
1272,121868.74540298636
215,146589.9242352706
266,226634.55065067066
2402,291858.6505879187
1250,134891.55724952984
1984,123636.5421178618
1279,145838.10328819824
377,250062.14081395214
1252,129059.63978809571
2156,265314.6942087175
499,315629.0439878744
1374,123754.02373753225
2898,241765.97981973807
401,108222.8720860451
2721,164437.51717810065
2078,239717.50330178058
2589,115919.3530170057
1946,240630.61963161954
1334,119474.95857371009
2781,221179.2354692344
431,379798.6198894037
576,209810.38506434148
1474,215458.960495016
2254,140734.4926921807
2155,277318.93472796574
885,106077.88358579844
643,135354.7900881826
1944,123668.4751238651
480,201576.8588325644
2845,109460.74811977419
2387,314876.16456804896
2407,226042.50515407755
2527,170194.99784896398
2514,151216.61412025016
629,157357.73198900127
80,208081.8975902594
1876,142241.91966323284
1546,116625.92544244207
2518,175947.11394307928
2347,167729.99295940215
783,218942.27714280947
1322,48341.52742912463
194,86301.51959334957
1770,287940.6525521459
2143,143128.2648905854
1229,222955.09999987064
511,275086.3606985817
46,245209.74184518307
1348,171097.10213740612
2465,204161.3587247834
387,226664.5611614877
873,233260.0435528046
1918,116139.27529997297
2764,240989.537800122
2184,111397.16749702659
934,145550.06236406424
1920,128760.93842050662
2631,150672.31416292046
1768,489867.42661128467
2040,113276.62500464368
1749,221518.9831800135
834,242927.10153233114
1457,235185.3154717276
79,112894.19848800609
2302,120303.66807967403
1817,143438.54824573913
2755,242004.06538915148
359,174307.61599257772
2059,108953.50353455254
2092,249837.1038965456
2516,219307.05298504164
150,105461.33547374776
1656,151424.44513399803
83,103819.33481563131
2411,194994.1434083015
795,73907.63421741752
2312,223369.6920999781
2917,104320.80524320001
1624,190003.3501366723
2215,282958.04793473706
1211,154538.06054817088
1485,166891.58422824807
1024,185416.43648816098
570,193217.99291080376
2874,139268.3479022881
700,160663.25160845782
2756,221239.87514061414
2022,177620.10975953762
583,221674.91295618066
2392,356495.9404110459
2424,186248.28104434954
212,111360.61281073547
736,122737.29806007404
1610,180331.69811005532
890,117829.86842078716
467,179586.23426818053
578,238244.54173458202
